smiles,inchikey,Metadata_JCP2022,ChEMBL_ID,ABCB1,ABL1,ADRA1D,ADRA2B,ADRB2,CA12,CA2,CA9,CACNA1H,CDK2,CHRM1,CHRM3,CHRM4,CNR1,CYP1A2,CYP2C19,CYP2C9,CYP2D6,CYP3A4,DRD2,DRD3,DRD4,EGFR,ESR1,FLT1,HRH1,HTR1A,HTR2A,HTR2B,HTR2C,HTR6,KCNH2,KDR,LCK,MCL1,OPRK1,PPARG,PTGS1,SIGMAR1,SLC6A2,SLC6A4
COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,AAHNBILIYONQLX,JCP2022_000062,CHEMBL3609637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,1.0
O=C([O-])c1sc2cc(Cl)ccc2c1Cl,AAHPIJMQJAZYTM,JCP2022_000064,CHEMBL1448105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
C#Cc1cccc(N=c2[n-]cnc3cc(OCCOC)c(OCCOC)cc23)c1,KHGHCIWPVVSRDT,JCP2022_000088,CHEMBL553,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)OCC(=O)NCc1ccco1,AAQPJNXQFGYYCM,JCP2022_000136,CHEMBL1548186,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C,ABACVOXFUHDKNZ,JCP2022_000207,CHEMBL490153,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
C[NH+](Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,ABJKWBDEJIDSJZ,JCP2022_000269,CHEMBL990,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
NC(=[NH2+])NCC[NH+]1CCCCCCC1,ACGDKVXYNVEAGU,JCP2022_000432,CHEMBL765,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
[O-]c1c(Cl)cc(Cl)c(Cl)c1Cc1c([O-])c(Cl)cc(Cl)c1Cl,ACGUYXCXAPNIKK,JCP2022_000438,CHEMBL496,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
O=C([O-])c1cc2ccccc2oc1=O,ACMLKANOGIVEPB,JCP2022_000488,CHEMBL83294,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(NC(C)=O)cc1NC(=O)C[NH+]1CC[NH+](CC(=O)Nc2ccccc2Cl)CC1,ACRIENBXIIVXCZ,JCP2022_000520,CHEMBL1361876,,,,,,,,,,,,,,,0.0,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
CCC(=O)NC(=S)Nc1ccc(S(=O)(=O)[N-]C(C)=O)cc1,MMACVNSCCVQTTK,JCP2022_000545,CHEMBL1447662,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(-c2ccc(=N)n(CCCC(=O)[O-])n2)cc1,ACVGNKYJVGNLIL,JCP2022_000554,CHEMBL32503,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,ACVGWSKVRYFWRP,JCP2022_000556,CHEMBL85139,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,
COc1cc(F)ccc1-c1nc(=Nc2cccc(CS(C)(=N)=O)c2)nc[n-]1,SLKGCCGQWPDWPS,JCP2022_000564,CHEMBL4286578,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc2c(cc1OC)C(=O)C(CC1CC[NH+](Cc3ccccc3)CC1)C2,ADEBPBSSDYVVLD,JCP2022_000623,CHEMBL502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
CCCCCCCCCCCCCCCc1cccc([O-])c1C(=O)[O-],ADFWQBGTDJIESE,JCP2022_000638,CHEMBL33778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC(=O)c1ccc(NC(=O)CSc2nnc(-c3ccco3)c(-c3ccco3)n2)cc1,ADLKNTFKSUFVKI,JCP2022_000676,CHEMBL1427047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
COC(=O)c1ccc(-c2n[n-]c(=Nc3ccc(OC(F)(F)Cl)cc3)c3ccccc23)cc1,NJEDMOPQBBFGGQ,JCP2022_000793,CHEMBL194042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
CC[NH+](CC)S(=O)(=O)c1ccc2c(c1)C(=NO)c1cc(S(=O)(=O)[NH+](CC)CC)ccc1-2,AEESOEJLSASDMP,JCP2022_000810,CHEMBL1445171,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[NH3+]C1CC1c1ccccc1,AELCINSCMGFISI,JCP2022_000856,CHEMBL313833,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(CN=c2[n-]c(-c3cccnc3)nc3ccccc23)cc1,XGPXXSQJOXWGCN,JCP2022_000861,CHEMBL119841,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
O=C([O-])CO,AEMRFAOFKBGASW,JCP2022_000870,CHEMBL252557,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
CCc1cc(C([NH3+])=S)ccn1,AEOCXXJPGCBFJA,JCP2022_000878,CHEMBL1441,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3C[NH+]1CC2,AEQDJSLRWYMAQI,JCP2022_000885,CHEMBL187892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Cc1ccc(NC(=O)c2c(C(F)(F)F)nn(C)c2SCc2cccc(C(F)(F)F)c2)cc1C,AEYJCFPXVJRTGQ,JCP2022_000944,CHEMBL1420206,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
[O-]c1ccc(-c2c(-c3ccccc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1,AEZPAUSGTAHLOQ,JCP2022_000950,CHEMBL191066,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
Cc1nn(-c2ccccc2)c2c1C(=O)[NH+](Cc1ccccc1)C(=O)C(C)(C)C2,AFNIQYALEQCRCL,JCP2022_001071,CHEMBL1598878,,,,,,,,,,,,,,,1.0,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,AFNXATANNDIXLG,JCP2022_001075,CHEMBL1221,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,1.0
O=C1C(=O)c2cccc3cccc1c23,AFPRJLBZLPBTPZ,JCP2022_001087,CHEMBL395653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Cc1cc(C(=O)CC#N)c(C)n1CC(F)(F)F,AFSJCINRPRZHCC,JCP2022_001107,CHEMBL1735112,,,,,,,,,,,,,,,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
O=C(NC(C(=O)c1ccccc1)n1cnccc1=O)c1ccccc1,AFTYRGSRPBTOIY,JCP2022_001120,CHEMBL1728383,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc2c(c1)C(C)CC(C)(C)N2C(=O)CSc1nc2ccccc2s1,AFXLHBRQFXVKKF,JCP2022_001150,CHEMBL1544798,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CSc1nnnn1-c1ccccc1)NCc1cccs1,AGCFGMRJYNGOCI,JCP2022_001188,CHEMBL1427548,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(N2CCOCC2)nc(SCc2ccc(Cl)cc2Cl)n1,AGCSFEMNYLPWSY,JCP2022_001191,CHEMBL1529571,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(NC(=O)NCc2cccn2C)c(OC)c1,AGHNFWXJQOPISY,JCP2022_001221,CHEMBL1564740,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc2ncn(Cc3ccc(Cl)cc3)c2cc1C,AGMQHEBJQCVRFK,JCP2022_001266,CHEMBL1945694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
CCc1c(C(=O)NCCc2ccc(N3CCCCC3)cc2)[nH]c2ccc(Cl)cc12,AHFZDNYNXFMRFQ,JCP2022_001400,CHEMBL1553629,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC(=O)c1ccccc1NC(=O)C1CC[NH+](C(=O)c2ccc(OC)cc2)CC1,AHHPDCUWINYMDS,JCP2022_001409,CHEMBL1361909,,,,,,,,,,,,,,,0.0,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1c(C)c2c[n-]c(=Nc3ccc(N4CC[NH2+]CC4)cn3)nc2n(C2CCCC2)c1=O,JTMWKGGHAUHKIY,JCP2022_001418,CHEMBL189963,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc2c(cc1OC)C[NH+](CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2,AHJUHHDDCJQACA,JCP2022_001420,CHEMBL4594298,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1c(C)[nH]c(C(=O)COc2ccc(C#N)cc2)c1C,AHPCSBGALZBSDT,JCP2022_001461,CHEMBL1454402,,,,,,,,,,,,,,,1.0,1.0,,0.0,1.0,,,,,0.0,,,,,,,,,,,,,,,,,
CC1CCC[NH+](C(=O)c2sc3cc([N+](=O)[O-])ccc3c2Cl)C1,AIIBDHVBUAAFRX,JCP2022_001581,CHEMBL1605811,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(N2CCC([NH+]3CC[NH+](C)CC3)CC2)ccc1N=c1[n-]cc(Cl)c(=Nc2ccccc2P(C)(C)=O)[n-]1,GUFMXUUDMSBXBR,JCP2022_001608,CHEMBL3545311,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
CCCn1c(=O)c2[n-]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,RSIBKDQMZWKWFK,JCP2022_001721,CHEMBL273807,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(OC)c(NC(=O)c2cc(-c3ccc(C)cc3[O-])[n-]n2)c1,WDAJIXMNMXIJLK,JCP2022_001753,CHEMBL1544241,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
C[NH+](Cc1ccccc1)S(=O)(=O)c1ccc(NS(=O)(=O)Cc2ccccc2)cc1,AJHIOSCDEIVDRC,JCP2022_001778,CHEMBL1375364,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc2c(c1)c(CC(O)=NO)c(C)n2C(=O)c1ccc(Cl)cc1,AJRNYCDWNITGHF,JCP2022_001858,CHEMBL295829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
COc1ccc(Cc2n[n-]c(=NC(=O)c3c(-c4ccccc4)noc3C)s2)cc1,AJSBWLJCIVIURM,JCP2022_001864,CHEMBL1536990,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCn1c(=NC(C)c2cc(Cl)ccc2[O-])[n-]c2ccccc21,ITCRRIFECPKABO,JCP2022_001880,CHEMBL1596917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CS(=O)(=O)N(CC(=O)[NH+]1CCN(c2ccccc2)CC1)c1cc(C(F)(F)F)ccc1Cl,AJUYTEPCYGRYSY,JCP2022_001882,CHEMBL1448286,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C([O-])c1c([O-])cccc1[O-],AKEUNCKRJATALU,JCP2022_001949,CHEMBL454808,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Cc2n[n-]c(=NC(=O)c3ccco3)s2)cc1,AKILLFQNTLYQHV,JCP2022_001978,CHEMBL1399621,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(C)cc1-c1nc2c(N3CC[NH+](Cc4ccc(Cl)cc4)CC3)c(Cl)cnc2[n-]1,RSTGLZWZBGEHCC,JCP2022_001983,CHEMBL2207503,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Cc1nc2ccc(NC(=O)N=c3cc[n-]c4cccnc34)cc2o1,AKMNUCBQGHFICM,JCP2022_002010,CHEMBL291536,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,
O=C(Nc1cccc2ccccc12)c1ccccc1,ALANUUFGKYEMNI,JCP2022_002114,CHEMBL1330614,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(-n2c(N)c(C(=O)NCc3ccco3)sc2=S)cc1,ALGZJIRUIRPIBH,JCP2022_002159,CHEMBL1388488,,,,,,,,,,,,,,,1.0,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1cc(CN=c2nc(N3CC[NH+](C)CC3)cc(N=c3cc(C4CC4)[n-][n-]3)[n-]2)on1,LETUBWRGEAZGEP,JCP2022_002181,CHEMBL3545085,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,ALOBUEHUHMBRLE,JCP2022_002206,CHEMBL533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
O=C([N-]C(=S)[NH+]1CCN(c2ccc(Cl)cc2[N+](=O)[O-])CC1)c1cccs1,ALVGDMCSDZDMMY,JCP2022_002261,CHEMBL1500450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
C[NH+](C)C(=O)Oc1cccc([N+](C)(C)C)c1,ALWKGYPQUAPLQC,JCP2022_002271,CHEMBL278020,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CC[NH+](C)CC3)c2c1,AMKVXSZCKVJAGH,JCP2022_002372,CHEMBL1278,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
CCn1c(CCC(=O)Nc2cccc(C(F)(F)F)c2)nc2cc(S(=O)(=O)[NH+](CC)CC)ccc21,AMOYQXOTIPSJNI,JCP2022_002404,CHEMBL1374931,,,,,,,,,,,,,,,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc2c(N3CC[NH+](CCc4cccc([NH+]5CCNC5=O)c4)CC3)cccc2n1,ANGUXJDGJCHGOG,JCP2022_002526,CHEMBL1631540,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
C[NH+](C)C(=O)Oc1cc(OC(=O)[NH+](C)C)cc(C(O)C[NH2+]C(C)(C)C)c1,ANZXOIAKUNOVQU,JCP2022_002672,CHEMBL521589,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
CCCCCCNC(=O)n1cc(F)c(=O)[n-]c1=O,FRZUKKPMQIJKOT,JCP2022_002684,CHEMBL460499,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
O=C1c2ccc([O-])cc2C(=O)c2ccc([O-])cc21,APAJFZPFBHMFQR,JCP2022_002853,CHEMBL298398,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
COc1nnc(-c2ccc(N3CCCCC3)c(N)c2)c2ccccc12,APCSNJAJOLTHDS,JCP2022_002876,CHEMBL1606622,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cn1c(=O)n(C)c(=O)c2[n-]cnc21,VUMQTMCALARJKY,JCP2022_002918,CHEMBL275084,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
[NH3+]CCc1c[nH]c2ccccc12,APJYDQYYACXCRM,JCP2022_002929,CHEMBL6640,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,
[NH3+]CCSSCC[NH3+],APQPRKLAWCIJEK,JCP2022_002985,CHEMBL61350,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1[NH+]1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2[NH2+]C1C,AQCHWTWZEMGIFD,JCP2022_003070,CHEMBL878,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
CC(C)Oc1ccc2c(=O)c3cc(C(=O)[O-])ccc3oc2c1,AQFFXPQJLZFABJ,JCP2022_003094,CHEMBL1317823,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CC(C)[NH2+]CC(O)COc1cccc2ccccc12,AQHHHDLHHXJYJD,JCP2022_003111,CHEMBL27,0.0,,0.0,0.0,1.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
C[NH+]=C(NC#N)NCCSCc1[n-]cnc1C,GKPMQZGLRFUHAN,JCP2022_003124,CHEMBL30,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
COC(=O)CCc1ccc(OCC(O)C[NH2+]C(C)C)cc1,AQNDDEOPVVGCPG,JCP2022_003151,CHEMBL768,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
CCn1c(COc2cccc(C)c2)nc2ccccc21,ARISNCZYQSOHKS,JCP2022_003319,CHEMBL1492268,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)c1cc(F)cc2c1C(=O)[NH+](C1CC[NH+](C3CCC(F)(F)CC3)CC1)C2,ARYVAQSYRLZVQD,JCP2022_003433,CHEMBL3606021,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(-c2nc3ccccc3c(=O)n2N)cc1,ARZJEBXFTPBYCK,JCP2022_003436,CHEMBL1511006,,,,,,,,,,,,,,,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)c1[nH]c(C)c(C[NH+](CCc2ccccc2)C(=O)CCC(=O)[O-])c1C,ASEIPTJQVIMPFX,JCP2022_003476,CHEMBL1548902,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
O=C(N=c1[n-]c(-c2ccccc2)c(-c2ccccc2)o1)c1ccc(F)cc1,ASMXBNYBIJRDSH,JCP2022_003550,CHEMBL1568277,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C)[n-]c(=NS(=O)(=O)c2ccc(N)cc2)n1,HAXNAXUEIPRPPE,JCP2022_003627,CHEMBL446,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
CCC[NH+](CCC)C1CCc2cccc([O-])c2C1,ASXGJMSKWNBENU,JCP2022_003633,CHEMBL56,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,
CCS(=O)(=O)NCC(c1cccnc1)[NH+]1CCN(c2ccccc2F)CC1,ASYJCMQQNDMWCL,JCP2022_003640,CHEMBL1742117,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
O=c1ccc2ccc([O-])c([O-])c2o1,ATEFPOUAMCWAQS,JCP2022_003696,CHEMBL244948,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,
[NH3+]CCCC[NH2+]CCC[NH3+],ATHGHQPFGPMSJY,JCP2022_003720,CHEMBL19612,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2OC)cc1N1CC[NH2+]CC1,ATKZKAYWARYLBW,JCP2022_003755,CHEMBL1210710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
CCOC(=O)[NH+]1CCN(c2nc(-c3ccco3)cc(C(F)(F)F)n2)CC1,AUAFVGXISBLFSK,JCP2022_003863,CHEMBL1342791,,,,,,,,,,,,,,,1.0,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
CCc1ccc(C2=Nn3c(nnc3-c3cccs3)SC2)cc1,AUIQVDGWXRAVOO,JCP2022_003927,CHEMBL527271,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
O=C(CSc1nc2ccccc2s1)N=c1[n-]ccs1,AURWHTRSUCBFRC,JCP2022_003996,CHEMBL1352396,,,,,,,,,,,,,,,1.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
CC[NH+](CC)C(=S)SSC(=S)[NH+](CC)CC,AUZONCFQVSMFAP,JCP2022_004039,CHEMBL964,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,AVOLMBLBETYQHX,JCP2022_004142,CHEMBL456,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
CC(C)c1ccc(Cn2ccc3c4c(=N)[n-]c(=NC5CC5)[n-]c4ccc32)cc1,GOXLOEVYFMONCO,JCP2022_004206,CHEMBL63426,,,,,,,,,,,,,,,1.0,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C(=O)Nc2cc3c(cc2OC)CCCC3)cc1Br,AWDHKTRQPYBPOL,JCP2022_004234,CHEMBL1480796,,,,,,,,,,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
