smiles,inchikey,220_692,221_693,231_703,233_706,234_707,235_708,238_712,239_713,240_714,241_715,242_716,243_717,244_718,246_720,247_721,248_722,249_724,251_727,260_738,264_742,265_743,267_745,268_746,269_747,270_748,274_752,275_754,276_755,277_756,278_757,279_758,280_759
CCOC(=O)c1ccc(NC(=S)N2CCSC2c2ccc(OC)cc2)cc1,JEFNGIWYLXETLU,,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
O=C(CC1NC(=O)NC1=O)Nc1cccc2ccccc12,TYLHRPBDFWODNS,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,,,0.0,,,,,0.0,
CC(Nc1nc(N2CCCC2)nc2ccccc12)c1ccccc1,HKGJEZIGDHFJFL,,,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,0.0,
CC1=C(C(=O)OCc2ccc3c(c2)OCO3)C(c2ccc(F)cc2)NC(=O)N1,QCGHTRAZOATGMB,,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,0.0,,0.0,,,,,0.0,
CCC(Sc1nc2nnc(C)c-2c(N)n1-c1cccc(Cl)c1)C(=O)NCCOC,LXNUZWHEMOKYNJ,,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,
O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,GBAMHVNDWHYNBF,,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
CCOC(=O)c1sc2nc3n(c(=O)c2c1C)CCC(C)CC3,YMDMAOJFSHFBBN,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0
CCCC(O)C#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)C(=O)Nc1ccc3c(c1)OCO3)O2,VGYFAVFOCXCKID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cc1oc(-c2cccc(Cl)c2)nc1CN1CCCC(C(=O)NC(C)c2ccc3c(c2)OCCO3)C1,PHMBDSDPJJTNFK,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,MLKXDPUZXIRXEP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
